geneID,symbol,degree
114121,Ccnl1,6
114122,Vcan,235
114123,Sardh,18
114124,Akap1,27
114125,Dll3,24
114200,P3h1,11
114202,Mpp3,19
114203,Sh2b2,52
114205,Crcp,31
114206,Tmf1,4
114207,Ryr1,63
114208,Skil,31
114209,Phyh,62
114210,Spata2,3
114211,Mtnr1a,16
114212,Chek2,53
114213,Rax,3
114214,Dffa,12
114215,Insl3,11
114216,S100a3,1
114243,Nox1,103
114244,Hcn2,21
114245,Hcn3,4
114246,Trpv6,23
114247,Slfn4,6
114248,Pde6h,6
114300,Gtpbp4,45
114481,Dnajc14,1
114482,Nek2,26
114483,Cdk6,79
114483548,Mir709,2
114485,Dmtf1,14
114486,Braf,78
114487,Wnt2,60
114488,Rbm3,1
114489,Dag1,192
114490,Cited2,70
114491,Cited4,38
114492,Ccl28,19
114493,Cacna1f,50
114494,Ccna2,67
114495,Map2k6,35
114496,Bik,23
114498,Dmrt1,17
114499,Hdgf,222
114500,Gbx2,4
114501,Lmx1b,17
114502,Pax3,46
114503,Pou4f1,33
114504,Msx3,2
114505,Klf4,159
114506,Ankh,4
114507,Slc5a3,1
114508,Fbp2,89
114509,Mapk7,55
114510,Mllt3,13
114511,Emb,6
114512,Aatf,18
114513,Rasgrf2,6
114514,Clasp2,23
114515,Lancl1,25
114516,Glra3,4
114517,Itga6,202
114518,Slc7a10,1
114519,Nfil3,63
114520,Strn3,12
114521,Tdg,12
114522,Stag3,28
114523,Ntn1,109
114524,Ntn3,5
114552,Bcl2l10,13
114553,Ncf1,56
114554,Pi4k2a,26
114555,Casp4,19
114557,Wif1,26
114558,Becn1,134
114559,Arhgef7,137
114560,Rap2a,22
114561,Pitpnb,1
114562,Cdc37,41
114587,Dlk1,52
114588,Cdh4,4
114589,Cntn5,1
114590,Ubqln1,146
114591,Dpp3,24
114592,Aurkb,64
114593,Nppc,23
114595,Csn1s2a,2
114597,Suclg1,23
114598,Clec4f,3
114612,Ddx39b,33
114613,Slc5a5,65
114628,Abcg5,34
114629,Slc26a3,4
114630,Atp5mc3,4
114632,Aimp1,27
114633,Plce1,12
114634,Six1,33
114635,Trafd1,6
114636,Zyx,52
114637,Hmgn2,11
114638,Hps1,56
114639,Zp3,8
114700,Cyp27b1,42
114705,Rgs14,14
114709,Ifitm2,15
114711,Gne,3
114764,Mapre1,187
114765,Wbp4,51
114766,Phb2,308
114767,Ptpre,2
114768,Uox,77
114839,Ccnc,41
114845,Klf3,51
114846,Gsto1,33
114850,Wnt7a,103
114851,Cdkn1a,179
114856,Dusp1,97
114858,Shc3,25
114859,Eif2ak4,73
114860,Gale,153
114862,Cacna1h,29
114901,Sorbs2,74
114903,Lim2,5
114906,Pkia,7
115769,Tjp2,168
115771,Usp2,8
116455,Atp6v0a2,43
116456,Dnajc2,7
116457,Mapk8ip1,35
116458,Ipo13,7
116459,Serpini1,11
116462,Ptcra,8
